FC Nantes	Nicolas Pallois	0	0	4	32/45 (71%)	10 (7)	6 (5)	4 (2)	90'	D	7.3
FC Nantes	Alban Lafont	0	0	0	10/26 (38%)	0 (0)	0 (0)	0 (0)	90'	G	7.2
FC Nantes	Andrei Girotto	0	0	1	38/50 (76%)	5 (2)	2 (1)	3 (1)	90'	D	7.2
FC Nantes	Wylan Cyprien	0	0	1	33/40 (83%)	4 (3)	2 (2)	2 (1)	87'	M	7.2
FC Nantes	Moses Simon	0	0	1	14/22 (64%)	8 (3)	6 (3)	2 (0)	81'	F	7.0
FC Nantes	Ludovic Blas	1	0	0	19/23 (83%)	18 (5)	16 (5)	2 (0)	90'	F	6.7
FC Nantes	Dennis Appiah	0	0	0	1/1 (100%)	1 (1)	0 (0)	1 (1)	9'	D	6.6
FC Nantes	Quentin Merlin	0	0	1	24/31 (77%)	5 (3)	2 (1)	3 (2)	90'	D	6.6
FC Nantes	Samuel Moutoussamy	0	0	3	24/31 (77%)	8 (3)	7 (3)	1 (0)	90'	M	6.6
FC Nantes	Fábio	0	0	9	18/30 (60%)	17 (11)	15 (10)	2 (1)	78'	D	6.4
FC Nantes	Marcus Coco	0	0	0	0/0	5 (1)	4 (1)	1 (0)	8'	F	6.4
FC Nantes	Pedro Chirivella	0	0	0	28/37 (76%)	6 (0)	6 (0)	0 (0)	90'	M	6.3
FC Nantes	Randal Kolo Muani	0	0	1	7/9 (78%)	29 (10)	15 (5)	14 (5)	90'	F	6.2
